stamp_ns,module,duration_ms
1776241353709108458,scan2MapOptimization,30.502
1776241353910201785,scan2MapOptimization,31.580
1776241354102936937,scan2MapOptimization,23.888
1776241354302372209,scan2MapOptimization,27.161
1776241354501778994,scan2MapOptimization,28.092
1776241354710842095,scan2MapOptimization,33.811
1776241354907057013,scan2MapOptimization,30.950
1776241355101360291,scan2MapOptimization,27.721
1776241355299645445,scan2MapOptimization,27.355
1776241355498334185,scan2MapOptimization,27.875
1776241355695251896,scan2MapOptimization,23.765
1776241355896187658,scan2MapOptimization,23.121
1776241356106057525,scan2MapOptimization,29.890
1776241356302712908,scan2MapOptimization,28.426
1776241356505055322,scan2MapOptimization,31.101
1776241356699463670,scan2MapOptimization,25.936
1776241356900633305,scan2MapOptimization,29.810
1776241357094009454,scan2MapOptimization,21.924
1776241357290683759,scan2MapOptimization,19.804
1776241357494519418,scan2MapOptimization,23.697
1776241357692804523,scan2MapOptimization,21.941
1776241357900273681,scan2MapOptimization,26.400
1776241358098220985,scan2MapOptimization,27.560
1776241358294809682,scan2MapOptimization,24.815
1776241358508080992,scan2MapOptimization,34.737
1776241358701907455,scan2MapOptimization,31.387
1776241358905597005,scan2MapOptimization,34.813
1776241359109611144,scan2MapOptimization,35.069
1776241359299420434,scan2MapOptimization,28.003
1776241359493601602,scan2MapOptimization,22.492
1776241359703268927,scan2MapOptimization,30.518
1776241359896885063,scan2MapOptimization,26.669
1776241360092620485,scan2MapOptimization,22.556
1776241360297230778,scan2MapOptimization,22.000
1776241360505785462,scan2MapOptimization,34.916
1776241360695901988,scan2MapOptimization,24.474
1776241360893882489,scan2MapOptimization,25.345
1776241361088484348,scan2MapOptimization,20.377
1776241361302333873,scan2MapOptimization,29.972
1776241361503240622,scan2MapOptimization,30.536
1776241361697669431,scan2MapOptimization,28.228
1776241361894638889,scan2MapOptimization,21.978
1776241362104166379,scan2MapOptimization,29.814
1776241362303225574,scan2MapOptimization,27.341
1776241362495275634,scan2MapOptimization,23.420
1776241362706277643,scan2MapOptimization,28.011
1776241362900674804,scan2MapOptimization,27.707
1776241363103259893,scan2MapOptimization,30.245
1776241363295768537,scan2MapOptimization,25.392
1776241363493165806,scan2MapOptimization,21.589
1776241363693309948,scan2MapOptimization,24.599
1776241363890004417,scan2MapOptimization,23.864
1776241364087754105,scan2MapOptimization,22.791
1776241364293687169,scan2MapOptimization,26.808
1776241364494771821,scan2MapOptimization,23.897
1776241364699958150,scan2MapOptimization,26.241
1776241364892858501,scan2MapOptimization,26.286
1776241365098130761,scan2MapOptimization,25.783
1776241365297407265,scan2MapOptimization,27.188
1776241365495097683,scan2MapOptimization,27.838
1776241365697792847,scan2MapOptimization,28.118
1776241365889278238,scan2MapOptimization,23.848
1776241366095852081,scan2MapOptimization,27.487
1776241366297780672,scan2MapOptimization,28.430
1776241366493211183,scan2MapOptimization,24.685
1776241366700696120,scan2MapOptimization,25.195
1776241366900047147,scan2MapOptimization,25.737
1776241367103095078,scan2MapOptimization,33.444
1776241367295260140,scan2MapOptimization,24.636
1776241367494060367,scan2MapOptimization,23.223
1776241367693895033,scan2MapOptimization,21.613
1776241367892820250,scan2MapOptimization,23.875
1776241368101152084,scan2MapOptimization,25.320
1776241368287721698,scan2MapOptimization,17.988
1776241368497684819,scan2MapOptimization,23.961
1776241368699227230,scan2MapOptimization,26.977
1776241368898059541,scan2MapOptimization,26.665
1776241369092200013,scan2MapOptimization,25.707
1776241369291437474,scan2MapOptimization,22.606
1776241369495956357,scan2MapOptimization,24.368
1776241369693722921,scan2MapOptimization,24.716
1776241369897672963,scan2MapOptimization,30.797
1776241370095022164,scan2MapOptimization,21.052
1776241370294316513,scan2MapOptimization,25.881
1776241370495076813,scan2MapOptimization,23.204
1776241370697075794,scan2MapOptimization,24.986
1776241370898848695,scan2MapOptimization,31.452
1776241371098730283,scan2MapOptimization,27.085
1776241371297692838,scan2MapOptimization,29.799
1776241371504965825,scan2MapOptimization,28.068
1776241371702078312,scan2MapOptimization,27.228
1776241371903002772,scan2MapOptimization,34.162
1776241372096197814,scan2MapOptimization,27.235
1776241372296596709,scan2MapOptimization,22.557
1776241372499936349,scan2MapOptimization,28.986
1776241372695591034,scan2MapOptimization,26.947
1776241372892865983,scan2MapOptimization,24.380
1776241373101896045,scan2MapOptimization,29.084
1776241373305146672,scan2MapOptimization,27.905
1776241373496445229,scan2MapOptimization,28.044
1776241373696284378,scan2MapOptimization,26.616
1776241373893507821,scan2MapOptimization,25.203
1776241374097314303,scan2MapOptimization,27.038
1776241374302412380,scan2MapOptimization,33.419
1776241374496876200,scan2MapOptimization,28.197
1776241374696610168,scan2MapOptimization,26.640
1776241374899931310,scan2MapOptimization,27.464
1776241375102186059,scan2MapOptimization,26.381
1776241375300448421,scan2MapOptimization,30.244
1776241375491606071,scan2MapOptimization,22.485
1776241375694713528,scan2MapOptimization,25.626
1776241375901864509,scan2MapOptimization,32.580
1776241376094069273,scan2MapOptimization,25.539
1776241376297975037,scan2MapOptimization,27.727
